epoch,running_time,training_loss,training_rmse,validation_loss,validation_rmse,validation_mae
0,69.984375,3445.210458755493,10.075695991516113,164.08802580833435,5.863734722137451,4.090831279754639
1,68.0625,944.0460287928581,5.274285316467285,109.09428095817566,4.781198978424072,3.2599081993103027
2,69.296875,780.3000577092171,4.795103549957275,94.79156708717346,4.456774711608887,3.0012409687042236
3,68.640625,712.3214169740677,4.581472396850586,88.95873063802719,4.317478179931641,2.9170377254486084
4,69.59375,679.9037172794342,4.47600793838501,85.96955192089081,4.244320869445801,2.86296010017395
5,69.8125,660.4867363572121,4.411630153656006,82.3483864068985,4.153970241546631,2.7706754207611084
6,64.359375,644.0921048521996,4.356534004211426,80.3091185092926,4.1022138595581055,2.737781047821045
7,40.34375,632.094312608242,4.315767765045166,78.91361284255981,4.066416263580322,2.704319953918457
8,40.015625,620.5668365359306,4.276234149932861,77.61520266532898,4.03282356262207,2.66572642326355
9,40.015625,611.5822688341141,4.245164394378662,76.41437125205994,4.001505374908447,2.6377975940704346
10,40.171875,605.936493575573,4.225524425506592,76.05007845163345,3.991955518722534,2.618682861328125
11,40.578125,599.3919446468353,4.202643871307373,75.85704833269119,3.9868857860565186,2.6106655597686768
12,39.65625,596.6913068890572,4.193164825439453,75.19666522741318,3.9694936275482178,2.5931997299194336
13,39.6875,592.9124187231064,4.179866790771484,74.85180336236954,3.960381269454956,2.584794759750366
14,39.8125,586.5063973069191,4.157224655151367,74.97775453329086,3.963712215423584,2.585223436355591
15,39.9375,583.762947678566,4.147490501403809,74.08313620090485,3.9399936199188232,2.5633697509765625
16,39.71875,575.446270942688,4.11784029006958,73.7971265912056,3.9323806762695312,2.554849147796631
17,40.171875,572.9747911095619,4.108987331390381,73.91511917114258,3.935523271560669,2.561908721923828
18,40.625,570.5678073763847,4.100348472595215,74.10281038284302,3.940516710281372,2.55802321434021
19,41.21875,568.039636194706,4.091253757476807,73.26648527383804,3.918217420578003,2.5449917316436768
20,40.640625,563.2123795747757,4.073832988739014,73.13416922092438,3.9146780967712402,2.5461714267730713
21,40.59375,560.1136187314987,4.062609672546387,71.95030295848846,3.882863759994507,2.5117690563201904
22,41.875,555.6605792045593,4.04642915725708,72.3285356760025,3.8930563926696777,2.5227577686309814
23,41.4375,552.7305346131325,4.035745620727539,71.90004909038544,3.8815078735351562,2.5160937309265137
24,40.4375,549.8325005471706,4.025153160095215,71.4513618350029,3.869377374649048,2.5132899284362793
25,40.546875,548.8747141063213,4.021645545959473,71.68098646402359,3.8755900859832764,2.5179333686828613
26,41.578125,547.5126475393772,4.016652584075928,72.29421335458755,3.89213228225708,2.5272011756896973
27,43.671875,547.0640576183796,4.015005588531494,71.65525180101395,3.874894380569458,2.5128471851348877
28,67.265625,543.1402112543583,4.000580787658691,71.6718230843544,3.87534236907959,2.5187151432037354
29,67.703125,540.6408108770847,3.991365671157837,70.84468734264374,3.8529157638549805,2.514099359512329
30,67.65625,542.6632216274738,3.998823642730713,70.81918638944626,3.852221965789795,2.5090725421905518
31,67.578125,542.01302292943,3.9964287281036377,70.54507088661194,3.844759464263916,2.5010271072387695
32,67.234375,538.1732555031776,3.9822473526000977,70.4504434466362,3.8421802520751953,2.50197434425354
33,46.34375,541.5536859631538,3.9947333335876465,70.43645542860031,3.8417985439300537,2.4974911212921143
34,39.5,544.0839606225491,4.004055500030518,69.98676717281342,3.829515218734741,2.4763896465301514
35,40.421875,537.3800468444824,3.9793107509613037,69.97385537624359,3.8291618824005127,2.4760901927948
36,40.96875,536.9770525097847,3.9778189659118652,69.9452748298645,3.8283801078796387,2.4769673347473145
37,40.203125,531.7344859242439,3.958353042602539,69.82976961135864,3.8252179622650146,2.476750612258911
38,39.734375,528.9872390925884,3.9481143951416016,69.49171459674835,3.8159475326538086,2.466566801071167
39,39.71875,529.7562209069729,3.9509830474853516,69.17785167694092,3.8073196411132812,2.456284284591675
40,40.203125,526.9408665895462,3.9404706954956055,69.33424854278564,3.81162166595459,2.4594578742980957
41,39.875,524.400970518589,3.9309630393981934,69.37789249420166,3.81282114982605,2.4599781036376953
42,49.40625,522.7326315641403,3.924704074859619,69.18956595659256,3.8076424598693848,2.455211639404297
43,68.171875,521.9532928466797,3.9217770099639893,69.10910642147064,3.8054275512695312,2.453538417816162
44,68.625,520.8880915939808,3.917774200439453,69.20680087804794,3.808116912841797,2.4558024406433105
45,68.953125,519.7381764054298,3.9134469032287598,69.04554498195648,3.803677558898926,2.4540817737579346
46,68.546875,517.3622673153877,3.9044909477233887,69.15001398324966,3.806554079055786,2.4533021450042725
47,68.984375,516.3512693047523,3.9006752967834473,69.1296415925026,3.8059933185577393,2.4569790363311768
48,69.53125,513.4627158045769,3.88974928855896,69.23463332653046,3.808882236480713,2.4604480266571045
49,67.46875,513.3203518092632,3.889209508895874,69.29429161548615,3.81052303314209,2.4582161903381348
