epoch,running_time,training_loss,training_rmse,validation_loss,validation_rmse,validation_mae
0,38.375,2769.50244307518,9.240606307983398,172.71324956417084,6.315351963043213,4.085084915161133
1,37.90625,941.594601392746,5.388051509857178,147.74685966968536,5.841088771820068,3.6193020343780518
2,37.375,879.3068078160286,5.206788063049316,142.70654952526093,5.740591526031494,3.484257459640503
3,37.375,853.3358389139175,5.129317760467529,141.20834803581238,5.710379123687744,3.480248212814331
4,37.828125,837.9439321756363,5.082848072052002,146.69994288682938,5.820357322692871,3.6172127723693848
5,37.8125,827.5378169417381,5.0511884689331055,144.29916381835938,5.772536754608154,3.552996873855591
6,37.765625,819.1956528425217,5.025665283203125,142.1661450266838,5.729710578918457,3.5022222995758057
7,38.1875,806.7636137604713,4.987385272979736,141.5668380856514,5.717621803283691,3.5024147033691406
8,38.265625,801.292878985405,4.970446586608887,140.6662758588791,5.699406623840332,3.454526662826538
9,37.8125,794.3869872093201,4.948980808258057,139.84649765491486,5.682775974273682,3.4320507049560547
10,37.875,789.9797093868256,4.935235023498535,138.37327897548676,5.652763843536377,3.411647319793701
11,37.9375,788.0530975461006,4.92921257019043,140.52371656894684,5.6965179443359375,3.4119625091552734
12,37.984375,784.8504931330681,4.919186592102051,139.21472811698914,5.669924259185791,3.406388282775879
13,38.140625,773.9733148217201,4.884979248046875,138.49365830421448,5.655221462249756,3.394815683364868
14,38.015625,775.1872019767761,4.88880729675293,134.89844131469727,5.581335544586182,3.3098134994506836
15,38.0625,768.3723304271698,4.86727237701416,136.96297150850296,5.62388277053833,3.3418967723846436
16,38.140625,764.3694620132446,4.854577541351318,135.21085917949677,5.587795257568359,3.307530641555786
17,38.015625,760.5596646666527,4.842461585998535,135.32283467054367,5.590108394622803,3.319911241531372
18,37.96875,756.8301756978035,4.8305745124816895,136.9443137049675,5.623499393463135,3.33475399017334
19,37.921875,758.7658335566521,4.8367486000061035,138.6021341085434,5.657436847686768,3.3500382900238037
20,38.15625,755.7178879976273,4.827024459838867,136.37058526277542,5.61170768737793,3.314617156982422
21,38.203125,751.4041773080826,4.813229084014893,137.61647522449493,5.637284278869629,3.3548784255981445
22,38.765625,748.2397305369377,4.803083419799805,135.45978820323944,5.5929365158081055,3.276937961578369
23,38.125,745.3326912522316,4.79374361038208,134.25662726163864,5.568043231964111,3.276601552963257
24,37.9375,747.7010283470154,4.801353931427002,137.99045950174332,5.6449384689331055,3.317631959915161
25,38.28125,746.7188412547112,4.7981977462768555,134.06300908327103,5.564026832580566,3.232264995574951
26,38.046875,738.9289693236351,4.773105621337891,131.44601929187775,5.5094523429870605,3.198033332824707
27,38.203125,736.0152181386948,4.763685703277588,132.40525943040848,5.529518127441406,3.2256386280059814
28,37.90625,731.2666090130806,4.748292922973633,134.84412240982056,5.580212593078613,3.231818199157715
29,38.0,734.1516640782356,4.757651329040527,133.94368666410446,5.561549186706543,3.227893114089966
30,37.96875,731.3015718460083,4.748406410217285,133.55289673805237,5.553430080413818,3.2103564739227295
31,38.09375,732.4640124440193,4.75217866897583,133.08404755592346,5.543673992156982,3.217111110687256
32,38.296875,739.9966220855713,4.776553630828857,136.115991294384,5.606466293334961,3.2471022605895996
33,38.921875,731.6881353855133,4.749661922454834,133.4033648967743,5.550320625305176,3.2339367866516113
34,37.953125,723.4620668888092,4.72288703918457,131.62704932689667,5.51324462890625,3.169856071472168
35,38.078125,718.2878885865211,4.705967426300049,134.57164990901947,5.574571132659912,3.226186513900757
36,38.140625,717.2407999634743,4.702537536621094,131.8010089993477,5.516887664794922,3.18589186668396
37,38.109375,716.7967214584351,4.701079368591309,134.07641232013702,5.564303874969482,3.2044475078582764
38,38.1875,711.0455734729767,4.682183265686035,133.55567908287048,5.5534892082214355,3.1843137741088867
39,38.640625,709.7188185453415,4.677811622619629,136.21967428922653,5.608602046966553,3.2174487113952637
40,38.234375,706.7476472258568,4.66801118850708,134.50210601091385,5.573132038116455,3.2022147178649902
41,38.171875,705.0739738345146,4.662481307983398,134.73604887723923,5.577975273132324,3.2138302326202393
42,38.4375,701.0894941091537,4.649287700653076,133.9118617773056,5.560889720916748,3.221165180206299
43,38.25,703.7892764806747,4.658230781555176,133.6141932606697,5.5547051429748535,3.1860110759735107
44,38.15625,699.5292769670486,4.644111633300781,133.43419176340103,5.550961971282959,3.198133945465088
45,38.109375,701.3149121403694,4.650035858154297,135.7216131091118,5.598339080810547,3.199711561203003
46,38.078125,697.4774260520935,4.637296199798584,135.45704221725464,5.592879295349121,3.2116291522979736
47,37.96875,698.2577769756317,4.639888763427734,133.95251202583313,5.561732769012451,3.186354398727417
48,38.140625,694.0760912895203,4.625975131988525,136.2857550382614,5.6099629402160645,3.2124381065368652
49,38.21875,691.7780997157097,4.61830997467041,134.05097395181656,5.56377649307251,3.185288429260254
