epoch,running_time,training_loss,training_rmse,validation_loss,validation_rmse,validation_mae
0,37.921875,7072.17996,14.76645756,249.5297215,7.368721962,5.101408005
1,38.53125,1457.280864,6.703033447,170.0581002,6.083166599,4.020496368
2,42.40625,1143.307208,5.93719244,137.2622688,5.465207577,3.658765554
3,63.21875,990.7061844,5.526780605,123.9067614,5.19252491,3.435332775
4,49.65625,912.290205,5.303544521,114.206385,4.985126972,3.204746962
5,37.9375,869.2128131,5.176816463,114.1377399,4.98362875,3.193150759
6,37.90625,852.9334262,5.128108501,110.8023466,4.910272121,3.136647463
7,38.484375,838.8408782,5.085569382,110.2904871,4.898917198,3.132757664
8,39.109375,836.1896877,5.077525616,109.0933253,4.872256756,3.108068228
9,62.671875,830.3455533,5.059751511,108.4815361,4.858575821,3.137188673
10,62.46875,821.2168812,5.031861782,107.3113937,4.832300663,3.103543997
11,62.625,813.0459472,5.006764412,104.8370079,4.776264668,3.066021919
12,64.90625,804.376149,4.979999542,103.813846,4.752899647,3.057115555
13,65,803.0898373,4.976016998,106.0655451,4.804168224,3.080168247
14,63.171875,790.876469,4.938033581,102.6960535,4.727242947,3.036459684
15,65.90625,781.8995788,4.909928799,102.6224374,4.725548267,3.041555882
16,66.375,776.6222656,4.893330097,101.7162113,4.704637051,3.017558813
17,63.828125,776.7798296,4.893828869,102.3519728,4.719316959,3.009733438
18,65.59375,767.0558143,4.863100529,100.9065982,4.685876369,2.980782032
19,63.671875,766.0383133,4.859871864,101.1074122,4.690536976,2.989325762
20,65.171875,756.5835084,4.829788208,99.86719942,4.661680222,2.967536926
21,66.25,754.2424193,4.822310925,99.1814881,4.645648956,2.951972485
22,64.765625,749.7197005,4.807829857,98.22178155,4.623118401,2.940536261
23,90.890625,740.8412147,4.779276371,97.13303101,4.59742403,2.92097497
24,108.703125,735.1436964,4.760864258,96.59660059,4.584711075,2.90595293
25,108.59375,727.1892068,4.73503685,96.41212314,4.580331326,2.911543608
26,107.921875,720.3820574,4.712823868,95.18877685,4.551179409,2.877977133
27,108.546875,721.2340762,4.715607643,95.19398654,4.551303387,2.87723279
28,108.4375,712.1670768,4.685873508,94.61639416,4.537475109,2.862275362
29,107.9375,715.4240913,4.696576595,94.46423125,4.533825397,2.858712435
30,108.015625,708.4946666,4.67377615,94.25363326,4.528768539,2.862863779
31,107.5,704.2816389,4.659860134,93.78224224,4.517428875,2.839379072
32,107.90625,697.7129114,4.638079643,93.82525295,4.518465042,2.854603529
33,107.203125,696.5169231,4.634101868,93.19408703,4.503241539,2.835489988
34,108.734375,692.4893498,4.620685101,93.64638472,4.514156342,2.822827578
35,108.265625,699.1085647,4.642714977,93.49990243,4.510623932,2.844757795
36,108.375,690.0510598,4.612542152,93.65589982,4.514385223,2.833870411
37,108.34375,687.3087991,4.603368759,93.08062369,4.500499725,2.825284004
38,107.640625,686.8769463,4.601921082,94.41902071,4.532739639,2.847387791
39,108.265625,675.1855751,4.562589645,94.01849908,4.523115635,2.828272104
40,106.96875,670.0039527,4.545048714,94.00730276,4.522846699,2.824821711
41,108.53125,667.1905822,4.535493851,93.46003455,4.509662628,2.817666531
42,108.375,664.6772631,4.526943684,95.22062361,4.551939964,2.82809186
43,94.78125,670.446744,4.546549797,95.86491436,4.567314625,2.864752054
44,68.125,662.5756629,4.519780636,94.52011561,4.535166264,2.826458693
45,67.453125,656.9660106,4.50060606,94.04350507,4.523717403,2.813037157
46,108.53125,667.1905822,4.535493851,93.46003455,4.509662628,2.817666531
47,108.375,664.6772631,4.526943684,95.22062361,4.551939964,2.82809186
48,94.78125,670.446744,4.546549797,95.86491436,4.567314625,2.864752054
49,68.125,662.5756629,4.519780636,94.52011561,4.535166264,2.826458693
