epoch,running_time,training_loss,training_rmse,validation_loss,validation_rmse,validation_mae
0,466.375,1546.3706030845642,6.9048848152160645,151.20290940999985,5.90900993347168,3.4690535068511963
1,467.65625,911.3156185150146,5.300710678100586,139.79246121644974,5.681677341461182,3.3240344524383545
2,468.703125,865.0645777583122,5.1644487380981445,135.5880795121193,5.595583915710449,3.2671048641204834
3,476.640625,842.5923708677292,5.096927165985107,133.1278993487358,5.544587135314941,3.24003267288208
4,470.78125,828.6556042432785,5.054599761962891,131.54037696123123,5.511429309844971,3.2185213565826416
5,459.90625,815.7170721292496,5.014981746673584,130.46334904432297,5.488819599151611,3.2128796577453613
6,472.21875,805.2325718402863,4.982649326324463,129.2272082567215,5.462754249572754,3.199510335922241
7,464.265625,796.1454709172249,4.95445442199707,128.60622346401215,5.449613094329834,3.193925380706787
8,490.203125,787.8868921399117,4.928689956665039,127.66355407238007,5.4296040534973145,3.1892588138580322
9,476.796875,781.623827278614,4.90906286239624,126.7380553483963,5.409887313842773,3.1758153438568115
10,461.203125,775.8317112326622,4.89084005355835,126.16235828399658,5.397586822509766,3.166517734527588
11,456.734375,769.9519575834274,4.872271537780762,125.48472690582275,5.383070945739746,3.1580758094787598
12,454.265625,765.6657318472862,4.8586907386779785,125.00504940748215,5.372772693634033,3.1524882316589355
13,456.171875,761.5213921070099,4.845524311065674,124.65030282735825,5.365143775939941,3.146829605102539
14,456.5625,757.6226341724396,4.833105564117432,124.28700810670853,5.357319355010986,3.141395330429077
15,430.515625,753.9897801876068,4.821503162384033,123.92300355434418,5.34946870803833,3.1345925331115723
16,342.78125,750.0496184229851,4.808887481689453,123.69504904747009,5.344545841217041,3.1302380561828613
17,338.109375,747.0463812351227,4.79925012588501,123.57223290205002,5.341893672943115,3.1268649101257324
18,332.8125,743.9850254058838,4.789407730102539,123.35015958547592,5.337090492248535,3.1247665882110596
19,319.3125,741.9517583847046,4.782857418060303,123.13146245479584,5.332356929779053,3.12153959274292
20,310.640625,739.8831603527069,4.776187896728516,122.88326954841614,5.326980113983154,3.1182844638824463
21,326.8125,737.8811476826668,4.769720554351807,122.7286468744278,5.32362699508667,3.116196870803833
22,319.203125,736.3980677723885,4.7649245262146,122.56709653139114,5.320122718811035,3.1130270957946777
23,309.625,734.3016394972801,4.758138179779053,122.384516954422,5.316158294677734,3.1102840900421143
24,308.203125,732.5435695052147,4.752438545227051,122.25033557415009,5.313243389129639,3.1089038848876953
25,309.34375,730.9261764883995,4.747188568115234,122.12792479991913,5.310582637786865,3.1073451042175293
26,307.8125,728.8697865605354,4.740506172180176,122.04510933160782,5.308781623840332,3.1070187091827393
27,327.8125,727.3825320005417,4.7356672286987305,121.90492802858353,5.305732250213623,3.106471300125122
28,310.8125,725.3688543438911,4.72910737991333,121.82618641853333,5.304017543792725,3.104961633682251
29,309.796875,724.0059992074966,4.724663257598877,121.70062929391861,5.301283836364746,3.1040568351745605
30,310.296875,722.3603947162628,4.719290256500244,121.56880939006805,5.298413276672363,3.1017091274261475
31,306.9375,720.9104165434837,4.714552402496338,121.45215648412704,5.29586935043335,3.0994110107421875
32,315.671875,719.8982684612274,4.711240768432617,121.42683386802673,5.295318126678467,3.0990288257598877
33,316.203125,718.6429325938225,4.707131862640381,121.3588947057724,5.2938361167907715,3.09885573387146
34,309.71875,717.2596158385277,4.702597618103027,121.3208218216896,5.29300594329834,3.096855640411377
35,317.84375,715.8778470754623,4.698066234588623,121.18252468109131,5.289987564086914,3.096562147140503
36,313.140625,714.7520824670792,4.694369316101074,121.13317251205444,5.288910865783691,3.0953261852264404
37,308.796875,712.4276085495949,4.686731338500977,121.09958332777023,5.288177013397217,3.0950632095336914
38,308.765625,711.4974068403244,4.683670520782471,121.06455093622208,5.287412166595459,3.094656467437744
39,312.640625,706.2568765282631,4.666389465332031,121.06470113992691,5.287415027618408,3.0896708965301514
40,310.109375,705.1714524626732,4.662801742553711,121.2335946559906,5.291101932525635,3.089627504348755
41,312.96875,703.922351539135,4.658670425415039,121.17127138376236,5.289742469787598,3.0894558429718018
42,310.828125,702.5773058533669,4.654218673706055,121.26530313491821,5.291794300079346,3.0894088745117188
43,308.921875,701.5553647279739,4.650830268859863,121.43814492225647,5.2955641746521,3.090458869934082
44,311.828125,700.5327862501144,4.6474409103393555,121.51693743467331,5.2972822189331055,3.090864419937134
45,308.0625,699.6117153167725,4.644384860992432,121.47806650400162,5.296435356140137,3.089840888977051
46,311.609375,698.8080170750618,4.641716957092285,121.57909744977951,5.298636436462402,3.0903470516204834
47,308.515625,697.6904693841934,4.638003826141357,121.59355825185776,5.298952579498291,3.0893328189849854
48,312.125,697.0245512723923,4.63578987121582,121.68156635761261,5.300868988037109,3.09014630317688
49,311.21875,696.081972360611,4.632655143737793,121.71575862169266,5.301613807678223,3.0893473625183105
